hour,27045,27058,27073,28004,28008,29038,29039,29058,29063,29077,29127,29141,29167,30022,30161,31011,31037,31209,31210,31213,32037,32040,32141,33002,33045,33106,33119,33247,33294,33295,33307,33308,35264,36031,36034,37010,37034,37036,37039,38026,39066,39083,39089,39123,39128,39326,40004,40043,40068,40082,40093,40126,40211,40284,40405,40651,40717,40764,40842,40861,40908,40913,40922,41097,41175,41359,41522,41525,41529,42112,43091,43109,44021,45009,45025
1,6,6.187321961,8.936057532,10.13579558,10.00572551,8.664569976,11.66174796,6.890628184,7.273527687,9.872271425,10.01242009,6.465896593,9.612593842,6.329508053,8.686271112,9.820872618,6.389035658,10.98178161,8.19596563,7.71574958,11.10641399,7.654883784,6.804346291,6.511133018,7.281118713,7.080055442,11.47434585,8.832651311,8.825848429,11.55045044,10.33616739,7.799948753,10.08107841,8.387406671,6.77386828,10.55403718,9.51634006,7.597906834,7.757243926,7.856493077,6.820511136,10.20825608,9.810063408,6.358695417,7.934253006,9.366026494,10.86266792,6.516993312,7.131101501,7.711041441,9.023319939,7.074287944,10.10015045,6.963993606,8.29166997,9.872406654,7.195676843,8.755912701,7.579062962,7.774978494,11.21729238,11.94731317,10.01161558,9.954459383,6.716662237,6.715730082,11.12324123,11.19113145,10.10727191,11.18675173,10.65498899,8.678438969,11.01088157,8.139061785,11.69455384
2,6,11.17698328,6.417463625,6.148977534,11.2403854,9.159220027,7.227365708,11.18675231,10.34622277,10.47640803,8.644110531,11.40057265,7.081013485,11.14494146,7.090837003,10.39507031,11.36393991,10.90944879,8.571292254,8.225735119,6.987069998,8.700200468,6.269993193,7.730527881,9.412237973,9.191189248,11.4823524,11.92282207,7.181912001,6.971489028,6.567183094,11.17856095,6.332418807,7.16678913,8.921809513,6.422416241,11.14383281,6.932783116,7.128845036,7.006941339,6.903351494,8.827028356,7.191738317,6.655370877,7.988850772,8.727903898,7.717653181,11.69067156,7.772996028,7.416792267,9.77466819,11.90901552,10.87026216,7.720985214,8.070253576,10.48372056,10.3097305,9.763996827,10.06988415,8.283435613,11.66604645,7.033246431,11.35726097,11.51076538,8.783923719,8.044366024,10.81425381,11.29138332,9.610205473,9.157967621,11.63525113,6.325495058,9.809660659,8.839358678,8.139849332
3,5,8.204023109,8.098876904,6.390153579,6.183489678,7.493850896,8.754910755,7.904545747,5.736185494,5.636035691,7.570122192,6.99757755,5.367116998,5.388604267,6.523592019,5.539351031,5.920951711,8.807269825,5.606970254,6.325703646,5.997256893,8.100161905,9.787449479,5.059070783,5.915563059,5.990641233,6.305626499,9.901914148,6.893782186,7.566306867,6.100928478,9.464885846,7.076285428,6.084059934,6.872730664,6.509351441,5.753092263,6.298833222,5.06090112,6.318264863,9.161633064,6.551465059,7.490991224,7.540571684,7.940525127,7.932526129,5.709496935,5.149495689,9.831481075,8.237815968,5.947763911,7.531420905,6.258123392,5.627736882,9.569575805,7.193050565,5.328836339,9.970783991,8.834060041,5.806912732,9.872768774,6.263685218,7.851541601,6.248290344,6.335124589,9.912539938,6.190234385,9.431628197,9.418135388,6.482685266,7.47601875,8.383176034,5.447029906,6.349181094,5.065942797
4,4,5.0186347,5.698016668,7.522487331,7.621303337,4.172908236,5.129220328,6.917392505,5.470095515,7.722092711,6.680830802,6.213540253,7.029860179,6.322554156,5.349766049,4.561811523,5.260508433,7.971269374,4.646790609,6.279923176,7.578730871,5.408203582,5.948716479,7.249071205,7.991285044,5.998811694,6.078813427,6.576407848,7.80110954,7.275067609,5.459568545,4.97085123,7.965524194,7.65018595,5.645255663,4.249795452,6.579321042,6.218068977,6.554179505,5.256209414,6.53290202,6.007777199,4.348405113,6.570624694,5.882682921,4.171497263,7.515693888,5.411619842,7.339163401,4.343571935,4.86922723,5.731795459,4.293964495,7.563427942,5.328030262,4.672644478,7.988777461,7.369109787,6.095236858,5.346152332,4.069858962,6.860127156,5.834231849,6.621320366,7.8983811,7.580818977,6.750511007,6.211859275,5.488434739,6.274138316,5.625055946,5.926250916,5.429546267,4.623336688,6.506582039
5,3,4.546529656,3.835634252,3.377729498,3.116625827,4.975871207,3.788026866,3.687096123,5.569806574,3.10027375,5.199426989,5.59211661,4.186596687,4.276181031,5.033369175,4.798174999,5.184350613,5.015149937,5.18912937,4.943584538,4.671738654,4.327171658,3.657526912,3.198545005,4.059392651,5.243266805,5.844502723,5.402291469,5.307522699,3.471775301,3.999998226,3.181236874,3.703798273,4.308950362,3.733944602,5.251900291,4.620474053,3.604248651,3.378774089,4.070381805,3.323140994,3.128801602,4.380996128,4.184164835,4.337854053,5.135216971,4.900323447,3.648482363,4.1544375,3.767652566,5.044225537,3.990771036,5.411867139,3.515626446,5.713056617,3.131605674,5.044146362,3.995673553,4.635576157,5.82144892,5.019563649,3.483039506,3.690516986,5.730579897,3.827959454,4.921759321,4.31174965,5.307456992,4.381183898,5.131892535,3.704144473,3.263630081,5.539572169,4.546669202,5.145510614
6,2,2.529573317,3.842680306,2.748583697,3.377813958,3.948006095,3.658654216,2.279327018,3.903832366,3.289566086,2.234964186,3.671960015,3.704667048,2.264851637,3.080204967,2.847985813,2.371981703,2.615764174,3.503777701,3.874626204,3.885891111,2.277988245,3.911834554,2.163277518,2.915367067,3.492006207,2.787004832,2.986819644,3.94364961,3.498533229,3.038119715,3.383180362,2.727097486,3.60951071,3.154229852,2.219306802,3.745575144,2.656869778,3.214226146,3.064205115,3.525242113,2.741393084,2.749356459,3.331584092,2.240959514,2.180891902,3.534284359,3.426756597,2.939855192,3.714829402,3.58038849,3.223527266,3.471774976,3.471840708,2.407513104,3.108228315,2.959709422,3.239905046,2.684870339,3.667860133,3.019210936,3.344408278,3.444573492,2.953376168,2.861550481,2.873891835,3.001838085,3.847838753,2.146136615,3.256417863,3.28743202,3.338522719,2.938357961,2.099521943,3.897568504
7,1,1.514583183,1.783367109,1.787549037,1.61913369,1.844556126,1.299342719,1.77392904,1.849061473,1.820063249,1.512372767,1.701787206,1.432357606,1.055025042,1.51734938,1.41024248,1.395624658,1.892563584,1.780828009,1.434357142,1.614749323,1.299654009,1.455140424,1.130432922,1.284002202,1.880465694,1.306728621,1.434641695,1.417184048,1.102142542,1.473588783,1.308196061,1.794733559,1.311808173,1.233550383,1.449956343,1.770810903,1.966904846,1.065929889,1.127984229,1.814964375,1.043923603,1.801342788,1.851983568,1.646389937,1.175110968,1.139247126,1.201625573,1.803123985,1.122211269,1.347081149,1.979002249,1.929063256,1.726915801,1.490229586,1.284587333,1.946440541,1.23781621,1.36056001,1.104719897,1.790932429,1.281036746,1.900371328,1.762903595,1.528249709,1.085882868,1.700460617,1.783343978,1.551850364,1.369275038,1.82714257,1.008963724,1.893835017,1.269748114,1.467538207
8,4,7.459247742,4.890135255,4.585640163,4.928730601,5.408219144,6.632624503,7.271296255,4.282934179,7.813951083,6.619125186,6.429633316,4.120593173,4.679136062,4.99089326,5.628287011,7.301173742,4.170344375,7.92679928,7.557205846,5.351367406,6.929806581,6.655517997,7.011572348,6.917647394,7.949528231,5.665350686,5.306129626,4.61107042,4.741853705,4.082052777,7.430150926,6.859248583,4.121964453,7.72288376,7.085453791,4.550430637,7.321298426,5.452891926,7.615852596,5.012366306,5.183879299,6.202619103,7.740481489,4.681400056,4.589611386,6.364908386,7.904699027,4.296087895,6.00593654,4.452130168,4.919954402,5.344394735,6.19873469,7.913270135,5.593357937,5.116124282,4.532981032,6.308875673,4.77206651,4.904566471,4.374627929,5.088942639,4.496170872,6.310612991,4.96558528,4.126978573,5.616364035,4.004922813,6.54176366,4.735809651,6.213050796,6.562462627,6.718844138,6.512597574
9,6,11.39914834,8.837367784,7.929112922,10.602961,10.01684272,7.174602327,9.962960886,9.613393801,10.36050332,7.268827732,10.53146119,10.19426649,10.31310388,6.098658003,11.25682908,7.749266199,9.324401604,11.47323653,7.335688565,8.391418401,6.18602262,7.779111745,9.32443411,7.524974625,7.059460899,11.24879116,9.536190335,10.96407708,7.59432909,10.34030917,6.848463046,7.316691767,7.410832718,11.45438405,9.875038801,11.99061716,9.256079067,10.93054686,7.340812256,7.081838396,7.873242991,10.80801706,10.63978757,8.820660264,6.537510799,9.740371026,9.395627026,10.18581701,6.992720336,9.194591969,11.14306435,6.865225289,7.708736845,7.671888874,6.441884362,10.06856075,8.285958068,11.04731369,6.346524081,7.011286766,9.884796273,9.959339605,11.75199596,8.486890824,10.90723666,8.201529549,11.84814349,11.12986415,10.59293874,9.004254059,8.479751381,6.437649249,10.09093322,9.306092409
